HOSTNAME,OSS_ID,device,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,avserv,blks/s,avwait,busy,r+w/s,avque
HOSTNAME,OSS_ID,DISK_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,DISK_AVG_SERV,DISK_BLKS,DISK_AVG_WAIT,DISK_BUSY,DISK_RWS,DISK_AVG_QUEUE
eniqs,eniq_oss_1,sda,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,0.16000000,163.00000000,1.11000000,0.17000000,10.45000000,0.01000000
eniqs,eniq_oss_1,sdb,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,4.43000000,183.00000000,4.79000000,0.15000000,0.33000000,0E-8
eniqs,eniq_oss_1,sdc,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,1.36000000,4805.00000000,1.36000000,1.70000000,12.50000000,0.02000000
eniqs,eniq_oss_1,sde,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,2.39000000,3137.00000000,3.10000000,1.31000000,5.48000000,0.02000000
eniqs,eniq_oss_1,sdf,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdg,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdh,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,0.52000000,592.00000000,0.62000000,1.99000000,37.97000000,0.02000000
eniqs,eniq_oss_1,sdi,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdd,2022-09-18,2022,9,18,0,2022-09-18 00:45:00.0,45,15MIN,13,8,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 23:45:00.0,2.27000000,3130.00000000,3.22000000,1.22000000,5.39000000,0.02000000
