HOSTNAME,OSS_ID,device,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,avserv,blks/s,avwait,busy,r+w/s,avque
HOSTNAME,OSS_ID,DISK_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,DISK_AVG_SERV,DISK_BLKS,DISK_AVG_WAIT,DISK_BUSY,DISK_RWS,DISK_AVG_QUEUE
eniqs,eniq_oss_1,sda,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,0.14000000,165.00000000,1.04000000,0.15000000,10.68000000,0.01000000
eniqs,eniq_oss_1,sdb,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,3.72000000,131.00000000,4.14000000,0.09000000,0.25000000,0E-8
eniqs,eniq_oss_1,sdc,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,1.35000000,4637.00000000,1.35000000,1.62000000,12.05000000,0.02000000
eniqs,eniq_oss_1,sde,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,2.24000000,3043.00000000,2.74000000,1.19000000,5.29000000,0.01000000
eniqs,eniq_oss_1,sdf,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdg,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdh,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,0.50000000,457.00000000,0.56000000,1.72000000,34.68000000,0.02000000
eniqs,eniq_oss_1,sdi,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdd,2022-09-17,2022,9,17,1,2022-09-17 01:15:00.0,15,15MIN,7,29,15,LOADED,,eniq_oss_1,+0100,0,2022-09-17 00:15:00.0,2.21000000,3039.00000000,2.85000000,1.15000000,5.23000000,0.01000000
